Id,Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Species
0,4.9919959332745085,4.360716867628766,2.4438479345732995,1.3152530949936532,Iris-virginica
1,6.056431792529255,3.075985868365182,4.811308209107326,1.8894139981755427,Iris-virginica
2,6.895702884549552,3.08696611325918,5.0198889038080265,1.5159209453706177,Iris-versicolor
3,6.506605015052734,2.9211442141159254,4.650793547166922,1.410026488970921,Iris-versicolor
4,5.112029449846349,4.2614509512441945,2.46749535383651,1.284704166612816,Iris-setosa
5,4.5528881447410745,3.0010775049294303,4.72846916266264,1.621720773562847,Iris-versicolor
6,5.521083746026259,2.9900824807142135,4.264421229796805,1.2772301019324832,Iris-versicolor
7,7.5945962906942075,3.7516149672163297,6.629977522890433,2.202280877107768,Iris-virginica
8,5.825787451747424,2.6530776840438897,5.056211523676011,2.47425869792328,Iris-virginica
9,4.945008767101905,4.180978338134173,3.0830410661810603,0.9626952961428622,Iris-versicolor
10,4.82346031933516,3.616595049811555,3.06731604657272,1.9938536927628754,Iris-setosa
11,6.1908436340471305,2.7691886474789067,4.066173345775605,1.353349552486761,Iris-versicolor
12,5.610730811991947,2.908293528742914,4.103106099966893,1.3907939465556838,Iris-versicolor
13,7.676044756748301,3.7410320156075163,6.737320564250984,2.3146564284174627,Iris-virginica
14,4.77130641940156,2.997373520120025,1.43914254730601,0.19474704739333398,Iris-setosa
15,5.065091141445239,3.722858201910832,1.7625421670880161,0.10904075022622722,Iris-setosa
16,4.6437543260742835,3.3005193409242777,1.495394257374777,0.1053569086509295,Iris-setosa
17,5.736901385686778,2.7501119197786568,4.959796231684691,2.012114749884588,Iris-virginica
18,7.685839102479386,2.787272026262423,6.713657779618656,1.958339812089848,Iris-virginica
19,6.802389871079125,2.961492358259518,5.716595422139291,2.1281285679578685,Iris-virginica
20,6.69582656247748,3.0489889252892795,5.5019703779566465,2.4933739902258485,Iris-virginica
21,7.8513697146868235,3.7203099865368157,6.539244545580011,1.979981338294676,Iris-virginica
22,5.721790891834239,2.96548357922821,4.372210202266454,1.3686156191312169,Iris-versicolor
23,5.6831171077447795,2.513705979706202,4.940763512692815,1.925917526092817,Iris-virginica
